# wavelength flux variance
3483.4403224411 -49456.99879280858 1783053461.1960814
3483.477637105027 -57564.0279148118 1959944237.533311
3483.514952168663 -18271.198263353326 3058060315.7749467
3483.552267632025 7304.385340186258 5128061713.658412
3483.5895834951043 33028.29950331341 2421755927.0731235
3483.626899757918 57979.12133348112 801658072.9452509
3483.6642164204645 40884.67866096538 600832024.6521409
3483.701533482741 139723.5244838321 91161463810.54773
3483.7388509447646 221183.37726142758 145691549600.65695
3483.7761688065275 98350.79692729647 1500441162.7972672
3483.813487068046 46220.99680836605 1764033371.49462
3483.850805729318 64028.920166423064 3435693691.59374
3483.888124790342 30040.674689894866 1121972980.0694609
3483.9254442511346 -3231.7008103584885 327917770.3163566
3483.9627641116936 -2199.0462810282256 425979491.81641847
3484.0000843720177 -25183.961995876816 1172181874.0410552
3484.037405032123 -42213.7595171587 2862630408.269138
3484.074726092001 35815.927788558605 1643494516.739048
3484.1120475516695 46580.2629922459 824705970.0867758
3484.149369411126 36558.9885381108 683636815.3732895
3484.1866916703684 56094.71317136104 1472250185.195349
3484.224014329414 211818.38948240277 4403702765.559812
3484.261337388254 136472.4065417035 338447529.5767015
3484.2986608469055 33569.54283818153 326965296.0384558
3484.335984705366 58995.91823681818 2716403756.9111533
3484.3733089636344 97509.18604727235 5183025226.7605
3484.410633621727 -29125.89796323824 4874301870.040033
3484.447958679642 -140338.56524162504 16638243885.622925
3484.4852841373768 -36866.89452611448 1721165951.7086573
3484.522609994949 98336.09066590159 1801335238.065046
3484.5599362523503 95597.22068959019 22448428304.7148
3484.5972629095972 -313242.11088230024 55764209361.30819
3484.6345899666876 -636106.1296051526 154417770816.17212
3484.67191742362 -120880.18404776754 863893581.8302399
3484.709245280411 -23125.232509750233 1066327945.7405154
3484.746573537058 26194.642165765137 1894278740.3142354
3484.7839021935597 23433.730393651538 2005738135.6620352
3484.821231249933 -39269.79583956396 1751847919.546298
3484.8585607061696 203.96753449532844 2374054952.541159
3484.895890562286 -30760.013108111372 1037061207.8601965
3484.93322081828 -3459.160267803789 335697540.45196956
3484.9705514741504 8320.927211122515 315287370.36518186
3485.007882529914 45905.78362986786 583707702.0952647
3485.0452139855615 33802.35887526507 2965934544.3491693
3485.0825458411105 3375.606542236376 1141693503.0193906
3485.1198780965588 45101.98941083459 4880927713.694802
3485.1572107519046 114256.68421866649 10045430057.524359
3485.1945438071643 55300.91445543853 676047505.2752918
3485.2318772623366 -13346.62782971877 453941394.2710939
3485.269211117419 25183.876090406844 780813380.7861919
3485.306545372429 51483.46657391719 972564585.4377819
3485.3438800273575 23891.641039464586 228464254.1316639
3485.3812150822214 -20948.273992533603 837336833.5769659
3485.418550537019 -11907.550553133056 4266436438.049708
3485.4558863917487 -44844.27064463091 3541566834.7081275
3485.493222646426 -126187.23137520178 5871149144.213666
3485.5305593010444 -422174.82235081936 34191568205.72806
3485.5678963556197 -155695.09912697406 28279310144.6281
3485.60523381015 -2554.0226673559882 3382776803.282156
3485.642571664633 84577.81214948012 7481707113.844155
3485.6799099190866 86425.13205246541 1018858349.6432427
3485.7172485735077 20162.50461032921 664564965.0136223
3485.754587627895 75542.72198609625 1708959606.1301396
3485.791927082265 -65156.76777084836 1921805549.9084244
3485.829266936609 -26543.84127323552 749165525.1290115
3485.8666071909447 -33076.41976071224 1209224523.9230046
3485.90394784527 -33323.30879630185 2583907009.2231164
3485.9412888995826 49915.7271094706 4121879678.1449943
3485.978630353899 53415.51838729819 2717210934.806903
3486.0159722082117 -7555.279316074937 1053560973.2805319
3486.053314462537 -20589.584092841462 422609449.98177505
3486.0906571168734 -33043.139883739495 916191325.6242913
3486.1280001712184 38708.21460677692 1102661920.241642
3486.165343625589 38357.35134513586 283207308.75052375
3486.202687479983 12777.560327333369 200589891.67278302
3486.240031734399 8583.222941829503 490823249.11306137
3486.277376388853 15229.337439790494 530775904.8927732
3486.3147214433375 45641.10504657793 557391340.2840177
