# wavelength flux variance
5216.292248592127 3083.4080973521386 40103626.86540821
5216.347379801988 1337.017384704331 43957873.06214917
5216.402511594523 4366.49297936952 42927359.71380594
5216.457643969758 -7748.9276288169885 42092043.201922856
5216.51277692768 -8516.167616705534 43086908.880477615
5216.567910468313 -6095.208247928692 46465837.18445164
5216.623044591645 -10604.250326050598 49771735.35175577
5216.678179297703 -869.0190547193051 41486514.444075495
5216.73331458648 3745.939269529911 37724547.97798204
5216.788450457977 1677.5029859625201 38805590.48254342
5216.843586912215 -2951.970625671308 48531712.82504684
5216.898723949184 6658.594705491838 41639581.38501035
5216.953861568908 4509.475982516176 40882592.24172514
5217.008999771374 -5724.764063350213 43534940.017907
5217.064138556607 -2751.4972548606993 38636461.69355406
5217.119277924605 2558.0138746407392 39696742.11377595
5217.174417875363 1264.6762236935488 37374005.79736866
5217.229558408907 -4500.875485289347 33579508.474737816
5217.284699525225 -5425.803104459483 44427697.50685573
5217.3398412243405 -2928.431400583367 46338331.168278515
5217.394983506241 4426.8715263033955 38375122.07866752
5217.4501263709535 4524.572705427237 31483963.288859364
5217.505269818472 652.2886615311195 29669350.885809246
5217.560413848795 -8716.021589921886 33966035.25509234
5217.615558461946 -16222.569155000903 38991611.90687653
5217.670703657915 -15839.359551884618 40365884.24143974
5217.725849436724 -13811.518057155543 44584226.19500037
5217.780995798362 -8515.983002707124 38987259.99089115
5217.836142742854 -7520.566799066255 35956782.1460426
5217.891290270195 -13534.929204487267 38087982.790503494
5217.946438380384 -4905.2407961762 31445050.429409448
5218.001587073446 -1824.370125558177 32974103.692370627
5218.0567363493665 -305.24394522016564 35663947.08210352
5218.111886208171 9605.320914887425 36353028.20624671
5218.167036649847 -5119.5655659476315 34566165.820046924
5218.222187674422 -3095.600839141951 34835672.6741659
5218.277339281888 1356.6670874884203 33879116.71199747
5218.332491472245 651.5940825589769 38809332.0568788
5218.387644245518 6083.372871248817 35251850.57923503
5218.442797601692 3640.407431539983 35060549.816614315
5218.497951540795 127.47104171122055 33229342.492392745
5218.553106062812 -3798.512483267004 33670000.736445524
5218.608261167769 590.4525916253124 30308396.931013465
5218.663416855653 4190.299151509212 30874886.991149586
5218.71857312649 3522.166067512717 33387447.36388907
5218.773729980275 -6486.752882164259 32400334.827324133
5218.828887417007 -3781.0633534421727 32497419.475551814
5218.884045436708 -346.66524994083335 32398344.887525704
5218.939204039368 -922.1862714037592 33377072.86898889
5218.994363225011 -3748.9796488143543 36399044.85101663
5219.049522993623 69.4558773938843 34115463.16956967
5219.104683345232 2200.0251470235835 33189106.55614282
5219.159844279832 1992.1516226248343 34502632.17728775
5219.215005797421 -546.5899722748882 32756838.868268296
5219.270167898024 -7155.872871229212 31944951.337761503
5219.325330581628 -3577.2232856595347 31468401.982646283
5219.380493848258 898.1885171063375 32169129.047232565
5219.435657697902 3940.5584637574143 34078706.17533124
5219.490822130584 -1032.729070393496 33948039.77318612
5219.545987146301 -4580.747704457954 31938545.248950858
5219.60115274505 -2203.0714398010778 29745982.908949405
5219.656318926856 9813.520288294269 27925156.94154698
5219.711485691707 5275.483923030368 27734883.767250363
5219.766653039626 1116.695852505731 27749883.10892627
5219.821820970603 1454.9192589723332 28219447.74968542
5219.87698948466 751.5306760220756 29852256.29950918
5219.932158581796 1238.7490746355588 30544243.37652093
5219.987328262007 3591.714392209209 29763529.469889194
5220.0424985253185 6196.895299268869 29097206.464317244
5220.0976693717175 7673.842544691844 29590845.717063125
5220.152840801228 2076.225624728072 32209203.124978945
5220.208012813839 432.9941025119174 33243288.153634842
5220.263185409574 -1723.8203195850817 30433263.58990095
5220.318358588431 4806.615245744653 26583005.519939702
5220.373532350406 4172.635413713784 28277484.376514506
5220.428706695525 2488.471540626204 27993294.259725142
5220.483881623773 1894.8896645404325 24885831.15603961
5220.539057135178 -5268.967805378373 28269495.819401573
5220.594233229725 -1119.1911850821207 28406197.07291998
5220.64940990744 3393.975610130949 28633036.962216213
5220.704587168319 4776.176939077425 30188651.11340071
5220.759765012361 -4191.235588891983 32260449.8311524
5220.814943439588 -5187.933570401037 34019351.045114
5220.870122449989 -3028.826515761302 30903083.15039681
5220.925302043589 3846.6875259641533 25200213.03659634
5220.980482220375 -901.2316054577041 26855484.233982597
5221.035662980371 2163.4554865932632 26623671.229677733
5221.090844323576 6580.757387983911 26032865.99095373
5221.146026249985 8725.022055455478 26045738.59710059
5221.201208759623 2348.36585501887 28270590.200759992
5221.256391852478 202.48651432708175 31292720.371859085
5221.311575528575 6252.047161281605 30891495.80703185
5221.366759787902 5289.286758402972 28052577.48879218
5221.421944630482 9516.232777260497 27461565.73555802
5221.477130056313 5578.675569273909 26382423.562955383
5221.5323160653925 4404.601901112957 26893619.480877485
5221.587502657744 3996.4352064234545 28631717.10511936
5221.642689833356 -1685.2918704697222 30934438.486036878
5221.697877592253 -1481.565274837573 28582652.42218289
5221.753065934421 -8821.85295678277 29352382.321490303
5221.808254859888 -12971.096921536713 31827858.258313995
5221.863444368648 -299.19379837996894 29357289.42247236
5221.918634460699 -4038.5379642657863 26752077.02457304
5221.973825136065 -2237.46722130788 24510474.225549694
5222.029016394736 -5381.9871016264615 27183843.54232757
5222.0842082367335 -3141.3483790695764 28153511.864481732
5222.139400662047 -5059.563264199474 23478985.07069402
5222.194593670701 -1722.3719399977495 21349303.53855938
5222.249787262692 -3884.419142977284 22918310.66876371
5222.304981438017 209.87810355750844 21459019.52455616
5222.360176196701 1215.1272794512095 23574559.391607225
5222.415371538731 3928.987465773309 24015389.42982946
5222.470567464133 6599.750959240922 23133242.36592629
5222.525763972893 8167.017204409267 21897028.274709336
5222.580961065038 109.35992364251433 19916377.069213893
5222.636158740552 -244.7113771576702 19490010.635835987
5222.691356999463 2181.685223684815 19008267.957062896
5222.746555841766 6121.904345659745 20063603.844137274
5222.801755267459 2399.6862533594085 18721732.39922481
5222.856955276567 1780.0550210311735 18927142.984774604
5222.912155869076 1942.9915881824872 19086309.669755377
5222.967357045011 -2065.877633985931 19335211.536859594
5223.022558804361 -2253.374455616236 20085268.3048223
5223.07776114715 -5022.376190002821 19302612.186151844
5223.132964073376 -5185.965661768798 19213845.0348797
5223.188167583034 618.7016686008187 18468947.017523643
5223.243371676149 -3383.0821164308163 17044396.832765687
5223.298576352709 618.0288630737932 17322518.030316383
5223.353781612739 5293.786009048693 18768335.917862576
5223.408987456226 6498.369716438015 17829880.79361054
5223.464193883196 5758.99423088984 17884462.665726777
5223.519400893644 5868.714459660994 16921804.322882876
5223.574608487569 4459.211954571189 15308390.363608683
5223.629816664994 2566.0950601323702 14537958.079748569
5223.685025425907 2356.656714433433 14632043.038920367
5223.740234770334 3073.742093415864 16142402.00438918
5223.79544469826 4179.084518330947 16441920.998338908
5223.850655209712 3508.7616694143126 14679115.686138673
5223.905866304687 3764.561297316238 13918924.790654412
5223.961077983181 -1516.4193874141965 15730543.622007174
5224.016290245218 -3045.6787288809237 16370518.788073195
5224.071503090787 -6677.867578316767 16251314.633286582
5224.1267165199115 -3010.1212154404175 13703446.011080092
5224.181930532581 2867.2185186688216 12668447.127293676
5224.237145128817 2129.416845177307 12645954.284102479
5224.29236030862 2225.7204004419063 12240143.677170381
5224.347576071985 5664.78820475292 10853163.708306335
5224.402792418937 5114.629543528882 11920982.247139776
5224.458009349462 -3061.3375905375897 13760822.048693717
5224.513226863588 -6544.035587426599 13847201.981538743
5224.568444961301 -1825.107364876318 12440930.95909121
5224.623663642625 1822.7207740803665 11894262.729775092
5224.678882907558 1391.3579117908641 12656517.397448001
5224.734102756096 2680.242914048924 12627668.516322568
5224.7893231882645 983.2610126096029 11615912.234230755
5224.84454420405 -4213.131010146932 13404967.898191452
5224.899765803479 -1258.6880232979731 12923472.124777121
5224.954987986537 -690.9929344881825 12661895.557820464
5225.010210753251 -808.061180661656 12671919.625071848
5225.065434103616 -252.95539588264276 11564818.449114716
5225.12065803763 -2183.1885603858746 11854167.651923532
5225.175882555317 -2161.4430630935767 12201216.54262958
5225.231107656666 -1339.0829152662232 12330232.569251798
5225.286333341699 -4649.270174388348 12099856.090599047
5225.341559610406 -9217.560498600375 12524444.149656275
5225.396786462811 -2519.788196924892 10857801.467007695
5225.452013898911 1033.3705532001156 10393537.463382313
5225.507241918704 2465.551657189196 11366829.011943957
5225.562470522212 1045.9296900137076 9946533.074273108
5225.6176997094235 -1274.4898962378252 10024977.911844112
5225.672929480365 1244.634596101676 9636196.55311429
5225.728159835023 4289.522000820571 9569640.036229176
5225.783390773422 -1344.2210281636653 9324816.975112516
5225.838622295559 -1510.2373929356124 10191423.490998132
5225.893854401431 3039.5724819444254 10878944.473108668
5225.949087091063 4015.8088419159976 10719996.892616082
5226.004320364442 -546.5295020807253 10376564.70648564
5226.059554221592 -2064.7318594671924 9497682.640818145
5226.114788662503 -4042.8273834805627 9521713.756069014
5226.170023687198 -1075.8749836716638 8770636.940451782
5226.225259295675 1383.0293143207382 8725243.113381216
5226.280495487929 1297.7617551717744 8859641.244118212
5226.335732263987 1473.4151782965264 8670830.431706244
5226.390969623835 1819.9307159972877 8618917.40318179
5226.446207567498 2214.2551398104933 8670890.024989562
5226.501446094964 -597.2409269730747 9485305.336023746
5226.5566852062575 -2757.2600448342537 9403562.536675693
5226.611924901366 -3911.7806785488165 9744695.649508754
